noc,Bronze,Gold,Silver
AFG,2,0,0
AHO,0,0,1
ALG,8,5,4
AND,1,0,0
ANZ,5,3,4
ARG,30,22,29
ARM,8,3,10
AUS,233,175,185
AUT,143,108,129
AZE,29,9,15
BAH,7,9,3
BAR,1,0,0
BDI,0,1,1
BEL,73,51,63
BER,1,1,0
BIH,1,0,0
BLR,48,21,39
BOH,6,0,1
BOT,1,0,3
BRA,73,38,48
BRN,1,2,3
BUL,87,56,90
BUR,1,0,0
CAN,231,154,189
CHI,4,2,7
CHN,206,318,243
CIV,2,1,1
CMR,2,3,1
COL,17,6,15
CRC,2,1,1
CRO,18,17,19
CUB,83,90,69
CYP,0,0,1
CZE,48,35,37
DEN,81,54,82
DJI,2,0,0
DOM,4,5,5
ECU,0,3,2
EGY,18,11,12
ERI,1,1,0
ESA,0,0,1
ESP,60,52,77
EST,20,17,13
ETH,23,24,12
EUN,37,54,44
FIJ,1,2,0
FIN,192,149,160
FRA,365,293,317
FRG,94,67,82
GAB,0,0,1
GBR,347,319,342
GDR,162,192,165
GEO,19,11,12
GER,371,365,384
GHA,4,0,1
GRE,52,43,63
GRN,1,1,1
GUA,0,0,1
GUY,1,0,0
HAI,1,0,1
HKG,6,3,7
HUN,195,202,169
INA,15,8,14
IND,17,11,10
IOA,3,1,1
IRI,28,25,23
IRL,14,11,10
IRQ,1,0,0
ISL,2,0,2
ISR,9,2,4
ISV,0,0,1
ITA,281,274,246
JAM,26,27,35
JOR,1,1,1
JPN,216,203,194
KAZ,42,17,27
KEN,37,35,42
KGZ,4,0,4
KOR,121,151,130
KOS,0,3,0
KSA,2,0,2
KUW,3,0,0
LAT,18,7,18
LBN,2,0,2
LIE,7,2,2
LTU,14,10,7
LUX,0,2,3
MAR,13,8,5
MAS,5,0,10
MDA,4,1,2
MEX,39,15,25
MGL,17,2,11
MKD,1,0,1
MNE,0,0,1
MON,1,0,0
MOZ,1,1,0
MRI,1,0,0
NAM,0,0,5
NED,178,155,161
NGR,14,3,12
NIG,1,0,1
NOR,182,212,195
NZL,59,57,38
PAK,4,3,4
PAN,2,1,0
PAR,0,0,1
PER,0,1,3
PHI,8,1,5
POL,149,81,99
POR,15,4,9
PRK,25,16,17
PUR,6,2,2
QAT,4,2,3
ROC,45,27,43
ROU,123,92,101
RSA,32,28,38
RUS,207,231,202
SAM,0,0,1
SCG,3,2,4
SEN,0,0,1
SGP,3,1,2
SLO,27,16,24
SMR,2,0,1
SRB,12,6,10
SRI,0,0,2
SUD,0,0,1
SUI,141,138,139
SUR,1,1,0
SVK,13,15,22
SWE,259,226,238
SYR,2,1,1
TAN,0,0,2
TCH,60,51,57
TGA,0,0,1
THA,17,13,10
TJK,2,1,1
TKM,1,0,1
TOG,1,0,0
TPE,16,5,16
TTO,12,3,6
TUN,7,4,2
TUR,37,41,27
UAE,1,1,0
UAR,1,0,1
UGA,3,4,4
UKR,79,50,50
URS,353,471,373
URU,6,2,2
USA,859,1201,972
UZB,20,11,6
VEN,12,3,10
VIE,2,3,3
WIF,2,0,0
YUG,29,26,32
ZAM,1,0,1
ZIM,1,3,4
